          40          36
  0.700000000000000       0.800000000000000       0.900000000000000     
   1.00000000000000        1.10000000000000        1.20000000000000     
   1.30000000000000        1.40000000000000        1.60000000000000     
   1.80000000000000        2.00000000000000        2.20000000000000     
   2.40000000000000        2.60000000000000        2.80000000000000     
   3.00000000000000        3.30000000000000        3.60000000000000     
   3.90000000000000        4.20000000000000        4.50000000000000     
   4.80000000000000        5.10000000000000        5.40000000000000     
   5.70000000000000        6.10000000000000        6.50000000000000     
   6.90000000000000        7.30000000000000        7.70000000000000     
   8.10000000000000        8.50000000000000        8.90000000000000     
   9.30000000000000        9.70000000000000        10.1000000000000     
   10.5000000000000        10.9000000000000        11.3000000000000     
   11.7000000000000     
   1.00000000000000        1.10000000000000        1.20000000000000     
   1.30000000000000        1.40000000000000        1.50000000000000     
   1.60000000000000        1.70000000000000        1.90000000000000     
   2.10000000000000        2.30000000000000        2.50000000000000     
   2.70000000000000        2.90000000000000        3.10000000000000     
   3.30000000000000        3.50000000000000        3.70000000000000     
   4.00000000000000        4.30000000000000        4.60000000000000     
   4.90000000000000        5.20000000000000        5.50000000000000     
   5.90000000000000        6.30000000000000        6.70000000000000     
   7.10000000000000        7.50000000000000        7.90000000000000     
   8.30000000000000        8.70000000000000        9.10000000000000     
   9.50000000000000        9.90000000000000        10.3000000000000     
010101 -99.19526290 -98.90333849
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010314 -99.36643930 -99.07505048
  F,  0.234014816869E+00,  0.470474130768E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010315 -99.40004739 -99.10838671
  F,  0.242262617626E+00,  0.474630224456E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.476259300000E+00,  0.000000000000E+00,  0.000000000000E+00
010401 -99.44295435 -99.15182631
  F,  0.264588500000E+00,  0.458280725098E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.529177000000E+00,  0.000000000000E+00,  0.000000000000E+00
010402 -99.70502703 -99.41062789
  F,  0.348187806615E+00,  0.497263721990E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
  H,  0.529177000000E+00,  0.000000000000E+00,  0.000000000000E+00
010403 -99.83756401 -99.53949788
  F,  0.437286378287E+00,  0.521137612316E+00,  0.000000000000E+00
  H,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00
